,model,ablation,predicted,fold,fold_id,type,subject,joint,polDegree,FNO_batch,FNO_nbMod,FNO_nbHC,FNO_maxIt,fitTime,posRMSE,velRMSE,posAAE,velAAE,tauRMSE,tauAAE,pErrMax,vErrMax,pErrStd,vErrStd,tauErrMax,tauErrStd
75,MVPR,anthropo,vel,2-fold,fold2,train,S2_c,elbow,2,,,,,6.193728685379028,,0.0050455239439337,,0.0039645478389861,,,,0.0183190558809461,,0.0050234758471587,,
76,MVPR,anthropo,vel,2-fold,fold2,train,S4_c,shoulder,2,,,,,6.193728685379028,,0.0060888146939619,,0.00483283499418,,,,0.0217179801035619,,0.0059541090234124,,
77,MVPR,anthropo,vel,2-fold,fold2,train,S4_c,elbow,2,,,,,6.193728685379028,,0.0085262923734211,,0.0066348664705958,,,,0.0363002810852018,,0.008516544156873,,
78,MVPR,anthropo,vel,2-fold,fold2,train,S7_c,shoulder,2,,,,,6.193728685379028,,0.005111182907454,,0.0041435987369693,,,,0.0170408538848333,,0.0050980216198017,,
79,MVPR,anthropo,vel,2-fold,fold2,train,S7_c,elbow,2,,,,,6.193728685379028,,0.0047601837925968,,0.0037118728922539,,,,0.0209310514472344,,0.0047329584886248,,
80,MVPR,anthropo,vel,2-fold,fold2,train,S9_c,shoulder,2,,,,,6.193728685379028,,0.0057116856251624,,0.0047500144787536,,,,0.0186961550456266,,0.0057043763069404,,
81,MVPR,anthropo,vel,2-fold,fold2,train,S9_c,elbow,2,,,,,6.193728685379028,,0.0053727681244431,,0.0041667265757949,,,,0.0170904130361321,,0.0053667723424968,,
82,MVPR,anthropo,vel,2-fold,fold2,eval,S01_a,shoulder,2,,,,,6.193728685379028,,0.0024314938555121,,0.0019420986114391,,,,0.0130208717499072,,0.0024270004163638,,
83,MVPR,anthropo,vel,2-fold,fold2,eval,S01_a,elbow,2,,,,,6.193728685379028,,0.0026167166499857,,0.0020938767020206,,,,0.0152370516740347,,0.0025610943873024,,
84,MVPR,anthropo,vel,2-fold,fold2,eval,S02_a,shoulder,2,,,,,6.193728685379028,,0.0027603985752316,,0.0020130862989876,,,,0.0171335958644068,,0.0026922897735208,,
85,MVPR,anthropo,vel,2-fold,fold2,eval,S02_a,elbow,2,,,,,6.193728685379028,,0.0036730136160972,,0.0030346247305787,,,,0.0219760620356963,,0.0035180818555764,,
86,MVPR,anthropo,vel,2-fold,fold2,eval,S04_a,shoulder,2,,,,,6.193728685379028,,0.002930426361282,,0.0022153565725464,,,,0.0155336458041555,,0.0029302014650664,,
87,MVPR,anthropo,vel,2-fold,fold2,eval,S04_a,elbow,2,,,,,6.193728685379028,,0.0037280321786898,,0.00305964701432,,,,0.0146867737164391,,0.0036820391176923,,
88,MVPR,anthropo,vel,2-fold,fold2,eval,S09_a,shoulder,2,,,,,6.193728685379028,,0.0043139385898898,,0.003400362567516,,,,0.0230097811810074,,0.0042644054430193,,
89,MVPR,anthropo,vel,2-fold,fold2,eval,S09_a,elbow,2,,,,,6.193728685379028,,0.0042621671350138,,0.0032609115329263,,,,0.0234664861119864,,0.0037624703627602,,
90,MVPR,anthropo,vel,2-fold,fold2,eval,S10_c,shoulder,2,,,,,6.193728685379028,,0.0062259770901026,,0.0050986548164786,,,,0.0206818673376699,,0.0062023572690616,,
91,MVPR,anthropo,vel,2-fold,fold2,eval,S10_c,elbow,2,,,,,6.193728685379028,,0.0058947350442618,,0.0046119889293875,,,,0.0239671006603173,,0.0058903775781998,,
92,MVPR,anthropo,vel,2-fold,fold2,eval,S11_c,shoulder,2,,,,,6.193728685379028,,0.0063228911291208,,0.0052152786379802,,,,0.0199875143511889,,0.0063210528312838,,
93,MVPR,anthropo,vel,2-fold,fold2,eval,S11_c,elbow,2,,,,,6.193728685379028,,0.0056569782246488,,0.0044369693296144,,,,0.024532953324558,,0.0056504120858715,,
94,MVPR,anthropo,vel,2-fold,fold2,eval,S12_c,shoulder,2,,,,,6.193728685379028,,0.0056123690568656,,0.0046083726041682,,,,0.0160122943032424,,0.0056108464522563,,
95,MVPR,anthropo,vel,2-fold,fold2,eval,S12_c,elbow,2,,,,,6.193728685379028,,0.0063416033857286,,0.0050714671330558,,,,0.0255550962373687,,0.0063301492923949,,
96,MVPR,anthropo,vel,2-fold,fold2,eval,S14_a,shoulder,2,,,,,6.193728685379028,,0.0032058394196987,,0.002405974748746,,,,0.0191458602207979,,0.0031657712729348,,
97,MVPR,anthropo,vel,2-fold,fold2,eval,S14_a,elbow,2,,,,,6.193728685379028,,0.0039369926790873,,0.0029381387874527,,,,0.0219659684989911,,0.0039106502545055,,
98,MVPR,anthropo,vel,2-fold,fold2,eval,S1_c,shoulder,2,,,,,6.193728685379028,,0.0054431157556098,,0.0043405683101416,,,,0.0233109570273874,,0.005435592145889,,
99,MVPR,anthropo,vel,2-fold,fold2,eval,S1_c,elbow,2,,,,,6.193728685379028,,0.0061455586720294,,0.0048470526807689,,,,0.0302461196199867,,0.0061361043126137,,
100,MVPR,anthropo,vel,2-fold,fold2,eval,S3_c,shoulder,2,,,,,6.193728685379028,,0.0059148882570691,,0.0048208536516219,,,,0.0207703603975922,,0.0059016634145755,,
