,model,ablation,predicted,fold,fold_id,type,dataType,subject,joint,polDegree,FNO_shuff,FNO_batch,FNO_nbMod,FNO_nbHC,FNO_maxIt,fitTime,posRMSE,velRMSE,posAAE,velAAE,tauRMSE,tauAAE,pErrMax,vErrMax,pErrStd,vErrStd,tauErrMax,tauErrStd
90,MVLR,all_but_pos,vel,2-fold,fold2,eval,FULL,S10_c,shoulder,,,,,,,0.0362591743469238,,0.0060081529528292,,0.0049261100480752,,,,0.0196095512391845,,0.0060079436749394,,
91,MVLR,all_but_pos,vel,2-fold,fold2,eval,FULL,S10_c,elbow,,,,,,,0.0362591743469238,,0.0054377606271835,,0.0042640966611875,,,,0.0245988706728177,,0.0054377124748177,,
92,MVLR,all_but_pos,vel,2-fold,fold2,eval,FULL,S11_c,shoulder,,,,,,,0.0362591743469238,,0.006240377213985,,0.0051837870553511,,,,0.0201693007243276,,0.0062380294784714,,
93,MVLR,all_but_pos,vel,2-fold,fold2,eval,FULL,S11_c,elbow,,,,,,,0.0362591743469238,,0.0052470626500448,,0.004092127701626,,,,0.0193431814105637,,0.0052463779692809,,
94,MVLR,all_but_pos,vel,2-fold,fold2,eval,FULL,S12_c,shoulder,,,,,,,0.0362591743469238,,0.0055805712007044,,0.0046328874496286,,,,0.015773334302176,,0.0055803579024847,,
95,MVLR,all_but_pos,vel,2-fold,fold2,eval,FULL,S12_c,elbow,,,,,,,0.0362591743469238,,0.0060762509024132,,0.0048627364551047,,,,0.0205908686434762,,0.0060758322688896,,
96,MVLR,all_but_pos,vel,2-fold,fold2,eval,FULL,S14_a,shoulder,,,,,,,0.0362591743469238,,0.0122223770279727,,0.011054580788091,,,,0.0332472938474311,,0.0122154099395406,,
97,MVLR,all_but_pos,vel,2-fold,fold2,eval,FULL,S14_a,elbow,,,,,,,0.0362591743469238,,0.0094701330538515,,0.0078404694100568,,,,0.0346258682107074,,0.0094592873083901,,
98,MVLR,all_but_pos,vel,2-fold,fold2,eval,FULL,S1_c,shoulder,,,,,,,0.0362591743469238,,0.0050820657170433,,0.0040648827247442,,,,0.0226677891595925,,0.0050815595069969,,
99,MVLR,all_but_pos,vel,2-fold,fold2,eval,FULL,S1_c,elbow,,,,,,,0.0362591743469238,,0.0057964094099938,,0.0045173972140831,,,,0.027361472010073,,0.0057963331989776,,
100,MVLR,all_but_pos,vel,2-fold,fold2,eval,FULL,S3_c,shoulder,,,,,,,0.0362591743469238,,0.00560846941724,,0.0045813034411116,,,,0.0191764271768279,,0.005607622782037,,
101,MVLR,all_but_pos,vel,2-fold,fold2,eval,FULL,S3_c,elbow,,,,,,,0.0362591743469238,,0.0049114953114288,,0.0038866749108184,,,,0.017679654461726,,0.004911371903208,,
102,MVLR,all_but_pos,vel,2-fold,fold2,eval,FULL,S5_c,shoulder,,,,,,,0.0362591743469238,,0.004629192883935,,0.0038704884751331,,,,0.0160954583129805,,0.004628901983767,,
103,MVLR,all_but_pos,vel,2-fold,fold2,eval,FULL,S5_c,elbow,,,,,,,0.0362591743469238,,0.0049129988996946,,0.0039353200507618,,,,0.0180312511697473,,0.0049126186729006,,
104,MVLR,all_but_pos,vel,2-fold,fold2,eval,FULL,S6_c,shoulder,,,,,,,0.0362591743469238,,0.0050102463335552,,0.0040761421819764,,,,0.0196292680804272,,0.0050097164109572,,
